,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
4,Opuntia ficus-indica,132275,-104.2626667,22.1982222,,True,2,-10.49,Equisetopsida,Caryophyllales,Cactaceae,1884,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00fc27ee125dac759ce3178f2569aec4,00fc27ee125dac759ce3178f2569aec4,No,NoDisponible,NoDisponible,,Si,,,,
64,Opuntia ficus-indica,132434,-104.6247222,23.8188888,,False,4,12.44,Equisetopsida,Caryophyllales,Cactaceae,2256,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056e9f4479cf1899f56eba1678e981b6,056e9f4479cf1899f56eba1678e981b6,No,NoDisponible,NoDisponible,,Si,,,,
8,Opuntia ficus-indica,189774,-97.5478611,18.2958333,,False,4,8.34,Equisetopsida,Caryophyllales,Cactaceae,1617,Terrestre,2006,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f1f56fc7f46439a65a910f54a7d95d,05f1f56fc7f46439a65a910f54a7d95d,No,NoDisponible,NoDisponible,,Si,,,,
36,Opuntia ficus-indica,160795,-100.9416667,22.1916667,,False,4,8.7,Equisetopsida,Caryophyllales,Cactaceae,1857,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08884f5738baee0729ff5bb7d0c944a5,08884f5738baee0729ff5bb7d0c944a5,No,NoDisponible,NoDisponible,,Si,,,,
92,Opuntia ficus-indica,189776,-97.475,18.325,,False,4,8.06,Equisetopsida,Caryophyllales,Cactaceae,1451,Terrestre,1998,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0924773fa73b97d80a795b8dbd586927,0924773fa73b97d80a795b8dbd586927,No,NoDisponible,NoDisponible,,Si,,,,
95,Opuntia ficus-indica,105468,-107.5588889,27.4508333,,False,3,-4.1,Equisetopsida,Caryophyllales,Cactaceae,2073,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0df3d794af36153ea73af3dac525140c,0df3d794af36153ea73af3dac525140c,No,NoDisponible,NoDisponible,,Si,,,,
5,Opuntia ficus-indica,155823,-101.2038889,20.4041694,,False,4,8.33,Equisetopsida,Caryophyllales,Cactaceae,1753,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fb3acad9f5ce80c447db268fcdfdecc,0fb3acad9f5ce80c447db268fcdfdecc,No,NoDisponible,NoDisponible,,Si,,,,
41,Opuntia ficus-indica,175123,-99.3255556,19.9961111,,False,4,19.77,Equisetopsida,Caryophyllales,Cactaceae,2045,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=106358e904b855aad17402fd58755c3f,106358e904b855aad17402fd58755c3f,No,NoDisponible,NoDisponible,,Si,,,,
78,Opuntia ficus-indica,175036,-98.942258,19.0187397,,False,4,16.26,Equisetopsida,Caryophyllales,Cactaceae,2306,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13ef2fbbefd8357db4a1ce412d4671c4,13ef2fbbefd8357db4a1ce412d4671c4,No,NoDisponible,NoDisponible,,Si,,,,
39,Opuntia ficus-indica,105449,-107.6419444,27.1319444,,True,2,-10.44,Equisetopsida,Caryophyllales,Cactaceae,846,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1485cb67ecf5025bfadbc3687c6a78f9,1485cb67ecf5025bfadbc3687c6a78f9,No,NoDisponible,NoDisponible,,Si,,,,
40,Opuntia ficus-indica,105449,-107.6419444,27.1319444,,True,2,-10.44,Equisetopsida,Caryophyllales,Cactaceae,846,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17f4d6a9511e1d26b89b58ee90099ab1,17f4d6a9511e1d26b89b58ee90099ab1,No,NoDisponible,NoDisponible,,Si,,,,
82,Opuntia ficus-indica,161095,-101.1050227,24.6623838,,False,3,3.44,Equisetopsida,Caryophyllales,Cactaceae,2249,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=182f59cbf7b4d24506e9b0b6fb00ef17,182f59cbf7b4d24506e9b0b6fb00ef17,No,NoDisponible,NoDisponible,,Si,,,,
72,Opuntia ficus-indica,161178,-100.9845138,25.4139277,,False,3,2.95,Equisetopsida,Caryophyllales,Cactaceae,1624,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ca813daa5ba53c29f2de588af1b776f,1ca813daa5ba53c29f2de588af1b776f,No,NoDisponible,NoDisponible,,Si,,,,
75,Opuntia ficus-indica,175067,-99.1913927,19.4685219,,False,4,14.67,Equisetopsida,Caryophyllales,Cactaceae,2243,Terrestre,2013,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f9ede111db47645965a635a843bc6fc,1f9ede111db47645965a635a843bc6fc,No,NoDisponible,NoDisponible,,Si,,,,
45,Opuntia ficus-indica,175209,-99.005167,20.3273056,,False,4,7.77,Equisetopsida,Caryophyllales,Cactaceae,1978,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20d441cc311c0a176a8c939d9b050f7c,20d441cc311c0a176a8c939d9b050f7c,No,NoDisponible,NoDisponible,,Si,,,,
14,Opuntia ficus-indica,155796,-101.6852778,20.6016667,,False,3,3.35,Equisetopsida,Caryophyllales,Cactaceae,1767,Terrestre,1981,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=279194928476e47fcc6be9621776ce9f,279194928476e47fcc6be9621776ce9f,No,NoDisponible,NoDisponible,,Si,,,,
11,Opuntia ficus-indica,83030,-110.95,29.0844444,,True,2,-15.2,Equisetopsida,Caryophyllales,Cactaceae,208,Terrestre,1899,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=32c3d82ab21dc4c40bfa45c37ba19ae6,32c3d82ab21dc4c40bfa45c37ba19ae6,No,NoDisponible,NoDisponible,,Si,,,,
17,Opuntia ficus-indica,170357,-99.6977778,20.7205556,,False,4,19.15,Equisetopsida,Caryophyllales,Cactaceae,2100,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33c80d8e4782e6bd5f6ad94d92609c97,33c80d8e4782e6bd5f6ad94d92609c97,No,NoDisponible,NoDisponible,,Si,,,,
43,Opuntia ficus-indica,175209,-99.005194,20.32725,,False,4,7.77,Equisetopsida,Caryophyllales,Cactaceae,1978,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3470c332976a3120614fb5aa474bf439,3470c332976a3120614fb5aa474bf439,No,NoDisponible,NoDisponible,,Si,,,,
84,Opuntia ficus-indica,170657,-99.7219188,22.9909138,,False,4,7.43,Equisetopsida,Caryophyllales,Cactaceae,1151,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36c2f408e13617a9c3886e6162e06d11,36c2f408e13617a9c3886e6162e06d11,No,NoDisponible,NoDisponible,,Si,,,,
15,Opuntia ficus-indica,160580,-101.1102778,20.3702778,,False,4,10.91,Equisetopsida,Caryophyllales,Cactaceae,1782,Terrestre,1980,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39c0466930a809fc5d08b90fde0b4979,39c0466930a809fc5d08b90fde0b4979,No,NoDisponible,NoDisponible,,Si,,,,
54,Opuntia ficus-indica,175076,-99.0912602,19.2946852,,False,4,15.41,Equisetopsida,Caryophyllales,Cactaceae,2234,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=39c808553077ba833958b8447ee852b3,39c808553077ba833958b8447ee852b3,No,NoDisponible,NoDisponible,,Si,,,,
68,Opuntia ficus-indica,165469,-100.4341666,20.7,,False,4,13.37,Equisetopsida,Caryophyllales,Cactaceae,1957,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3baf24e2a0c10ba3a274d4af52227583,3baf24e2a0c10ba3a274d4af52227583,No,NoDisponible,NoDisponible,,Si,,,,
0,Opuntia ficus-indica,42130,-116.0916667,30.975,,False,3,-1.9,Equisetopsida,Caryophyllales,Cactaceae,103,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3bfc0abf9053b0c41afa8215715c8038,3bfc0abf9053b0c41afa8215715c8038,No,NoDisponible,NoDisponible,,Si,,,,
88,Opuntia ficus-indica,189965,-97.5416667,19.8583333,,True,2,-4.56,Equisetopsida,Caryophyllales,Cactaceae,2117,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c64dd6df4af8ebeaf45c42e33541d6b,3c64dd6df4af8ebeaf45c42e33541d6b,No,NoDisponible,NoDisponible,,Si,,,,
27,Opuntia ficus-indica,175078,-99.1402778,19.4405556,,False,4,14.95,Equisetopsida,Caryophyllales,Cactaceae,2228,Terrestre,1906,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3efc731bd2f8b206a9ddfb72fc837082,3efc731bd2f8b206a9ddfb72fc837082,No,NoDisponible,NoDisponible,,Si,,,,
20,Opuntia ficus-indica,180058,-98.7366667,20.1233333,,False,4,22.62,Equisetopsida,Caryophyllales,Cactaceae,2395,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3faea7ad585a9791c82f8ed94f85ba9c,3faea7ad585a9791c82f8ed94f85ba9c,No,NoDisponible,NoDisponible,,Si,,,,
86,Opuntia ficus-indica,160808,-100.7583333,22.1083333,,False,3,2.77,Equisetopsida,Caryophyllales,Cactaceae,1983,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=426644b54e06bd1ef2811239f460f81e,426644b54e06bd1ef2811239f460f81e,No,NoDisponible,NoDisponible,,Si,,,,
69,Opuntia ficus-indica,165469,-100.4341666,20.7,,False,4,13.37,Equisetopsida,Caryophyllales,Cactaceae,1957,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4293129c22329570b95dc99905301097,4293129c22329570b95dc99905301097,No,NoDisponible,NoDisponible,,Si,,,,
62,Opuntia ficus-indica,179990,-98.8458333,19.7072222,,False,4,11.89,Equisetopsida,Caryophyllales,Cactaceae,2312,Terrestre,2013,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44afc997db74fc5a367b1500dc74f698,44afc997db74fc5a367b1500dc74f698,No,NoDisponible,NoDisponible,,Si,,,,
57,Opuntia ficus-indica,160542,-101.0138,20.2206,,False,4,8.9,Equisetopsida,Caryophyllales,Cactaceae,1714,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=471c149bf4caf519f994c68ae87acc53,471c149bf4caf519f994c68ae87acc53,No,NoDisponible,NoDisponible,,Si,,,,
